,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,,Lum
B,,789030,3358,29633,178751,270227,737291,848853,904732,813505,900710,,Lum
C,,914848,3823,49243,188513,287462,759968,907307,950609,982925,1046965,,Lum
D,,923024,3719,54453,244313,312978,763153,887516,985236,930306,1034452,,Lum
E,,688620,3189,3636,25870,41756,305780,666868,751970,763713,725753,,Lum
F,,756185,3941,5015,30341,61953,358573,769036,769444,794749,760071,,Lum
G,,751280,3252,4938,30113,59444,422840,724395,730678,759541,733855,,Lum
H,,,,,,,,,,,,,Lum
